original_name,pooled,phenotype,outlier
P7_6,False,iPSC,False
P7_7,False,iPSC,False
P7_9,False,iPSC,False
P8_1,False,iPSC,False
P8_10,False,iPSC,False
P8_11,False,iPSC,False
P8_12,False,iPSC,False
P8_2,False,iPSC,False
P8_3,False,iPSC,False
P8_4,False,iPSC,False
P8_5,False,iPSC,False
P8_6,False,iPSC,False
P8_7,False,iPSC,False
P8_8,False,iPSC,False
P8_9,False,iPSC,False
P9_1,False,iPSC,False
P9_2,False,iPSC,False
P9_3,False,iPSC,False
P9_4,False,iPSC,False
MSA_01,False,sMN,False
MSA_02,False,sMN,False
MSA_03,False,sMN,False
MSA_04,False,sMN,False
MSA_05,False,sMN,False
MSA_06,False,sMN,False
MSA_07,False,sMN,False
MSA_08,False,sMN,False
MSA_09,False,sMN,False
MSA_10,False,sMN,False
MSA_11,False,sMN,False
MSA_12,False,sMN,False
MSA_13,False,sMN,False
MSA_14,False,sMN,False
MSA_15,False,sMN,False
MSA_16,False,sMN,False
MSA_17,False,sMN,False
MSA_18,False,sMN,False
MSA_19,True,sMN,False
MSA_20,False,sMN,False
MSA_21,False,sMN,False
MSA_22,False,sMN,False
MSA_23,False,sMN,False
MSA_24,False,sMN,False
MSA_25,False,sMN,False
MSA_26,False,sMN,False
MSA_27,False,sMN,False
MSA_28,False,sMN,False
MSA_29,True,sMN,False
MSA_30,False,sMN,False
MSA_31,False,sMN,False
MSA_32,False,sMN,False
MSA_33,False,sMN,False
MSA_34,False,sMN,False
MSA_35,False,sMN,False
MSA_36,False,sMN,False
MSA_37,False,sMN,False
